BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-04-15,iАРТГЕН ао,ABIO,912,11097054.8,83.54,83.1,84.8,83.18,83.78,83.74,132450,83.76,83.76,,8920235.2,8920235.2,,0,3,SUR,0.02,2025-04-15
TQBR,2025-04-15,АбрауДюрсо,ABRD,598,9609282,183.4,183.4,188,185.6,186,185.6,51680,186,186,,9609282,9609282,,0,3,SUR,1.2,2025-04-15
TQBR,2025-04-15,Система ао,AFKS,37175,1826612637.4,14.859,14.3,15.035,14.602,14.669,14.736,124502400,14.637,14.637,,1301522816.7,1301522816.7,,0,3,SUR,-1.23,2025-04-15
TQBR,2025-04-15,Аэрофлот,AFLT,26133,1396042411.1,68.73,68.01,69.61,68.94,68.96,69.35,20243030,69.01,69.01,,986600045.6,986600045.6,,0,3,SUR,0.96,2025-04-15
TQBR,2025-04-15,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,Акрон,AKRN,186,15306422,16268,16080,16282,16236,16180,16236,946,16180,16180,,15306422,15306422,,0,3,SUR,-0.09,2025-04-15
TQBR,2025-04-15,АЛРОСА ао,ALRS,21520,746709094.9,48.42,48.25,49.27,48.82,48.82,48.97,15293730,48.83,48.83,,615011252.7,615011252.7,,0,3,SUR,1.09,2025-04-15
TQBR,2025-04-15,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,АПРИ,APRI,50,303252.26,13.196,13.152,13.206,13.202,13.174,13.2,23020,,13.2,,0,501074.9,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,Аптеки36и6,APTK,915,3830123.78,10.36,10.208,10.404,10.248,10.298,10.248,371960,10.298,10.298,,3830123.78,3830123.78,,0,3,SUR,-0.6,2025-04-15
TQBR,2025-04-15,ИНАРКТИКА,AQUA,2439,22156923,661,651.5,664.5,653.5,656.5,655,33741,656.5,656.5,,16909897.5,16909897.5,,0,3,SUR,-0.83,2025-04-15
TQBR,2025-04-15,Арсагера,ARSA,32,77330,10.94,10.93,11.09,11.06,11.05,11.06,7000,,10.97,,0,501523,,0,3,SUR,1.1,2025-04-15
TQBR,2025-04-15,АстрЭнСб,ASSB,61,253335,1.805,1.795,1.85,1.8,1.825,1.8,139000,,1.805,,0,504280,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,Астра ао,ASTR,21325,272744240.15,410.9,397.2,413.75,398,403.85,405,675396,404.8,404.8,,172548905.85,172548905.85,,0,3,SUR,-0.95,2025-04-15
TQBR,2025-04-15,Авангрд-ао,AVAN,187,1171935,758,750,762,751,758,751,1547,758,758,,1171935,1171935,,0,3,SUR,-0.4,2025-04-15
TQBR,2025-04-15,Башнефт ао,BANE,12066,227375390,2028,1943,2037,1967,1985.5,1981.5,114526,1973,1973,,136830086.5,136830086.5,,0,3,SUR,-2.29,2025-04-15
TQBR,2025-04-15,Башнефт ап,BANEP,2375,35302253,1140.5,1131,1144.5,1139.5,1138,1140.5,31019,1138,1138,,27076849.5,27076849.5,,0,3,SUR,0,2025-04-15
TQBR,2025-04-15,НоваБев ао,BELU,4655,118783721.5,496.5,488.5,499.5,491.5,493.5,495.5,240714,492.5,492.5,,81028757,81028757,,0,3,SUR,0.3,2025-04-15
TQBR,2025-04-15,БашИнСв ап,BISVP,27,61836,9.18,9,9.18,9.02,9.09,9,6800,,9.15,,0,503059,,0,3,SUR,-1.85,2025-04-15
TQBR,2025-04-15,Белон ао,BLNG,907,13895731,14.57,14.22,14.92,14.43,14.62,14.43,950400,14.62,14.62,,13895731,13895731,,0,3,SUR,0.42,2025-04-15
TQBR,2025-04-15,БурЗолото,BRZL,140,772122,1878,1840,1900,1852,1861,1852,415,1861,1861,,772122,772122,,0,3,SUR,-0.16,2025-04-15
TQBR,2025-04-15,БСП ао,BSPB,22861,807631500.1,383,378.72,386.49,382.5,381.09,384.2,2119240,380.6,380.6,,632446932.2,632446932.2,,0,3,SUR,0.19,2025-04-15
TQBR,2025-04-15,БСП ап,BSPBP,218,4739005,73.55,71.3,74.35,72.5,72.55,72.7,65300,72.55,72.55,,4739005,4739005,,0,3,SUR,-0.68,2025-04-15
TQBR,2025-04-15,СТГ,CARM,9785,84289099.6,1.528,1.527,1.819,1.6285,1.6875,1.6305,49949700,1.692,1.692,,78649487.8,78649487.8,,0,3,SUR,6.81,2025-04-15
TQBR,2025-04-15,МКБ ао,CBOM,4201,41534085.9,7.74,7.58,7.868,7.679,7.699,7.718,5394900,7.697,7.697,,33609500.4,33609500.4,,0,3,SUR,-0.16,2025-04-15
TQBR,2025-04-15,РН-ЗапСиб,CHGZ,67,254454,91.8,89.2,92.4,90,90.8,89.8,2800,,91.8,,0,512434,,0,3,SUR,-1.1,2025-04-15
TQBR,2025-04-15,ЧКПЗ ао,CHKZ,7,122300,17450,17400,17550,17450,17450,17450,7,17500,17450,,787550,523850,,0,3,SUR,-0.57,2025-04-15
TQBR,2025-04-15,СевСт-ао,CHMF,27070,902688412,1031.4,1018.4,1048.4,1032,1033.2,1042,873608,1031.2,1031.2,,671546639.6,671546639.6,,0,3,SUR,0.68,2025-04-15
TQBR,2025-04-15,ЧМК ао,CHMK,60,465880,5065,5065,5175,5125,5120,5125,91,,5120,,0,501615,,0,3,SUR,0.49,2025-04-15
TQBR,2025-04-15,ЦИАН,CNRU,2735,19841289.8,549.8,540.2,555.6,548,545.8,547.4,36353,545.8,545.8,,19841289.8,19841289.8,,0,3,SUR,-0.4,2025-04-15
TQBR,2025-04-15,Телеграф,CNTL,46,166972,10.42,10.24,10.42,10.3,10.3,10.3,16200,,10.3,,0,534102,,0,3,SUR,0.39,2025-04-15
TQBR,2025-04-15,Телеграф-п,CNTLP,240,1307952,7.54,7.42,7.54,7.44,7.46,7.44,175200,7.46,7.46,,1307952,1307952,,0,3,SUR,-0.27,2025-04-15
TQBR,2025-04-15,iАренадата,DATA,8409,45632491.52,131.64,131.64,138,133.6,134.7,133.36,338768,134.88,134.88,,40095352.02,40095352.02,,0,3,SUR,0.5,2025-04-15
TQBR,2025-04-15,iКаршеринг,DELI,1595,17630214.05,172.8,168,177,170.4,172.55,170.4,102176,172.55,172.55,,17630214.05,17630214.05,,0,3,SUR,-2.07,2025-04-15
TQBR,2025-04-15,iДиасофт,DIAS,699,7804362,3276.5,3252.5,3323.5,3290,3287.5,3290,2374,3287.5,3287.5,,7804362,7804362,,0,3,SUR,0.87,2025-04-15
TQBR,2025-04-15,ЗаводДИОД,DIOD,79,555888,11.09,10.83,11.4,11.07,11.01,11.07,50500,11.01,11.01,,555888,555888,,0,3,SUR,-2.21,2025-04-15
TQBR,2025-04-15,ДЭК ао,DVEC,93,603331,2.094,2.072,2.095,2.074,2.08,2.074,290000,2.08,2.08,,603331,603331,,0,3,SUR,-0.53,2025-04-15
TQBR,2025-04-15,ДонскЗР,DZRD,9,39115,3945,3890,3950,3895,3910,3890,10,,3950,,0,513765,,0,3,SUR,-1.89,2025-04-15
TQBR,2025-04-15,ДонскЗР п,DZRDP,29,131170,2640,2610,2660,2610,2620,2610,50,,2650,,0,500690,,0,3,SUR,-2.25,2025-04-15
TQBR,2025-04-15,ЕвроЭлтех,EELT,208,650512.8,11.92,11.7,11.98,11.78,11.84,11.78,54950,11.84,11.84,,650512.8,650512.8,,0,3,SUR,-1.01,2025-04-15
TQBR,2025-04-15,ЭЛ5Энер ао,ELFV,1739,29877688.6,0.4996,0.4996,0.5144,0.5064,0.5068,0.5106,58959000,0.505,0.505,,18117872.6,18117872.6,,0,3,SUR,2.2,2025-04-15
TQBR,2025-04-15,Элемент,ELMT,1589,7043923.95,0.1324,0.12855,0.13295,0.1319,0.13165,0.13185,53497000,0.1316,0.1316,,5123473,5123473,,0,3,SUR,-0.42,2025-04-15
TQBR,2025-04-15,ЭН+ГРУП ао,ENPG,21356,442091404.75,413.5,412.9,429.65,419.4,420.05,428.15,1052499,418.1,418.1,,256477236.25,256477236.25,,0,3,SUR,3.06,2025-04-15
TQBR,2025-04-15,ETLN-гдр,ETLN,768,3458279.56,57.64,56.8,58,57.3,57.38,57.12,60267,57.38,57.38,,3458279.56,3458279.56,,0,3,SUR,-1.11,2025-04-15
TQBR,2025-04-15,ЕвроТранс,EUTR,10387,109410108.6,123.5,121,124.25,122.45,122.65,123.5,892079,122.5,122.5,,79410676.7,79410676.7,,0,3,SUR,0.08,2025-04-15
TQBR,2025-04-15,Россети,FEES,10253,123706293,0.06888,0.06742,0.06956,0.06826,0.06848,0.069,1806260000,0.06842,0.06842,,102505998.8,102505998.8,,0,3,SUR,0.17,2025-04-15
TQBR,2025-04-15,ДВМП ао,FESH,5910,117600282.1,55.08,54.73,56.52,55.29,55.73,55.31,2110260,55.82,55.82,,79839196.1,79839196.1,,0,3,SUR,0.42,2025-04-15
TQBR,2025-04-15,FIXP-гдр,FIXP,2241,23999266.1,158.5,158.2,163.9,159.6,160.5,160.3,149531,160.5,160.5,,15276100.4,15276100.4,,0,3,SUR,0.82,2025-04-15
TQBR,2025-04-15,Совкомфлот,FLOT,21085,507019503.3,82.01,81.72,84.6,83.64,83.14,84.49,6090330,83.2,83.2,,427516622.6,427516622.6,,0,3,SUR,3.04,2025-04-15
TQBR,2025-04-15,ГАЗ ао,GAZA,9,101300,680,675,680,675,675,675,150,,673,,0,504810,,0,3,SUR,0.6,2025-04-15
TQBR,2025-04-15,ГАЗ ап,GAZAP,26,219375,437,427.5,437,431,430,431,510,,431.5,,0,522025,,0,3,SUR,0.82,2025-04-15
TQBR,2025-04-15,ГАЗКОН-ао,GAZC,0,0,,,,659,,,0,,,,0,0,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,ГАЗПРОМ ао,GAZP,107632,10642221554.2,132,129.74,134.3,130.69,131.84,131.6,80694900,131.79,131.79,,8234126862.4,8234126862.4,,0,3,SUR,-0.34,2025-04-15
TQBR,2025-04-15,ГАЗ-сервис,GAZS,0,0,,,,839,,,0,,,,0,0,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,ГАЗ-Тек ао,GAZT,0,0,,,,1739,,,0,,,,0,0,,0,3,SUR,,2025-04-15
TQBR,2025-04-15,ЧеркизГ-ао,GCHE,648,8869809,3738,3725,3785,3758,3749,3758,2366,3749,3749,,8869809,8869809,,0,3,SUR,0.89,2025-04-15
TQBR,2025-04-15,iГЕНЕТИКО,GECO,333,2048425.1,28.47,28.28,29.17,28.37,28.64,28.37,71520,28.64,28.64,,2048425.1,2048425.1,,0,3,SUR,-0.32,2025-04-15
TQBR,2025-04-15,iММЦБ ао,GEMA,111,863926,124.9,120.4,126,121.3,122.5,121.3,7050,122.5,122.5,,863926,863926,,0,3,SUR,0.25,2025-04-15
TQBR,2025-04-15,МКПАО ЮМГ,GEMC,963,6213008.6,758.8,755.6,786.9,777.7,774.9,777.7,8033,773.4,773.4,,6213008.6,6213008.6,,0,3,SUR,2.21,2025-04-15
TQBR,2025-04-15,ГМКНорНик,GMKN,43955,2322683845,114.6,111.48,115.7,111.8,112.92,112.2,20560130,112.92,112.92,,1822951734,1822951734,,0,3,SUR,-2.01,2025-04-15
TQBR,2025-04-15,ГТМ ао,GTRK,1427,47391788,223.7,221.7,228,223,224.5,224.2,211130,224.6,224.6,,32220414,32220414,,0,3,SUR,1.04,2025-04-15
TQBR,2025-04-15,Хэдхантер,HEAD,16835,562294189,3124,3083,3214,3130,3143,3194,178852,3128,3128,,363796529,363796529,,0,3,SUR,3.03,2025-04-15
TQBR,2025-04-15,Химпром ап,HIMCP,55,723074,22.78,22.14,22.78,22.4,22.32,22.4,32400,22.32,22.32,,723074,723074,,0,3,SUR,1.73,2025-04-15
TQBR,2025-04-15,ХЭНДЕРСОН,HNFG,1153,9531457.7,609,607.6,613.3,612.8,610.8,612.8,15604,610.8,610.8,,9531457.7,9531457.7,,0,3,SUR,0.84,2025-04-15
TQBR,2025-04-15,РусГидро,HYDR,17957,160478200.3,0.4563,0.4432,0.4618,0.4463,0.4506,0.4501,356148000,0.4503,0.4503,,130171750.8,130171750.8,,0,3,SUR,-1.29,2025-04-15
TQBR,2025-04-15,Ижсталь2ао,IGST,16,252160,6060,6020,6200,6080,6160,6080,41,,6120,,0,501860,,0,3,SUR,0.66,2025-04-15
TQBR,2025-04-15,Ижсталь ап,IGSTP,21,262640,4340,4310,4530,4310,4380,4310,60,,4380,,0,521160,,0,3,SUR,-2.93,2025-04-15
TQBR,2025-04-15,ИНГРАД ао,INGR,27,158258,1776,1738,1778,1760,1758,1760,90,,1752,,0,529352,,0,3,SUR,0.69,2025-04-15
