BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2025-05-06,iАРТГЕН ао,ABIO,1224,14048167,80.36,80.36,83,82.1,82.22,82.34,170860,82.26,82.26,,10509994.6,10509994.6,,0,3,SUR,1.91,2025-05-06
TQBR,2025-05-06,АбрауДюрсо,ABRD,655,7759386,175.8,174.8,181.6,180,179,180,43330,179,179,,7759386,7759386,,0,3,SUR,4.29,2025-05-06
TQBR,2025-05-06,Система ао,AFKS,28396,1229729432.8,14.34,14.121,14.96,14.89,14.548,14.713,84528300,14.522,14.522,,912908415,912908415,,0,3,SUR,2.77,2025-05-06
TQBR,2025-05-06,Аэрофлот,AFLT,29497,1171935407,68.05,67.29,69.77,69.07,68.91,68.86,17008330,69.01,69.01,,861122074,861122074,,0,3,SUR,1.21,2025-05-06
TQBR,2025-05-06,AGRO-гдр,AGRO,0,0,,,,1085.2,,,0,,,,0,0,,0,3,SUR,,2025-05-06
TQBR,2025-05-06,Акрон,AKRN,100,3277996,15848,15822,15996,15994,15912,15994,206,15912,15912,,3277996,3277996,,0,3,SUR,0.64,2025-05-06
TQBR,2025-05-06,АЛРОСА ао,ALRS,19931,473843270.4,47.49,46.9,48.38,47.96,47.74,47.76,9926450,47.67,47.67,,287534607.2,287534607.2,,0,3,SUR,0.57,2025-05-06
TQBR,2025-05-06,АшинскийМЗ,AMEZ,0,0,,,,68.05,,,0,,67.75,,0,1280515,,0,3,SUR,,2025-05-06
TQBR,2025-05-06,АПРИ,APRI,27,48359.3,13.07,13.06,13.084,13.084,13.07,13.084,3700,,13.122,,0,502407.66,,0,3,SUR,0.11,2025-05-06
TQBR,2025-05-06,Аптеки36и6,APTK,1957,9519437.98,9.984,9.96,10.1,10.078,10.054,10.016,946820,10.068,10.068,,4752205.3,4752205.3,,0,3,SUR,0.78,2025-05-06
TQBR,2025-05-06,ИНАРКТИКА,AQUA,1657,18017036,630,626,642,638,636,637.5,28331,636.5,636.5,,11603404,11603404,,0,3,SUR,1.35,2025-05-06
